Day,Weather,Temperature,Humidity,Wind,Play Football?
Day 48,Sunny,Mild,Normal,Weak,Yes
Day 49,Sunny,Mild,High,Strong,No
Day 50,Sunny,Mild,High,Strong,No
Day 51,Cloudy,Cool,Normal,Strong,Yes
Day 52,Sunny,Hot,Normal,Weak,Yes
Day 53,Rain,Mild,Normal,Strong,No
Day 54,Cloudy,Hot,Normal,Weak,Yes
Day 55,Rain,Mild,Normal,Weak,Yes
Day 56,Sunny,Hot,Normal,Strong,Yes
Day 57,Rain,Cool,High,Strong,No
Day 58,Rain,Cool,Normal,Strong,No
Day 59,Sunny,Mild,High,Weak,No
Day 60,Sunny,Mild,Normal,Strong,Yes
Day 61,Cloudy,Hot,Normal,Weak,No
Day 62,Cloudy,Cool,High,Weak,Yes
Day 63,Cloudy,Cool,High,Strong,Yes
Day 64,Sunny,Mild,Normal,Weak,Yes
Day 65,Rain,Mild,Normal,Weak,Yes
Day 66,Cloudy,Hot,High,Strong,Yes
Day 67,Sunny,Hot,Normal,Weak,No
Day 68,Rain,Cool,High,Strong,No
Day 69,Cloudy,Hot,High,Strong,Yes
Day 70,Cloudy,Cool,High,Strong,Yes
Day 71,Sunny,Hot,Normal,Weak,Yes
Day 72,Cloudy,Mild,High,Strong,Yes
Day 73,Rain,Cool,Normal,Strong,No
Day 74,Rain,Mild,Normal,Weak,Yes
Day 75,Rain,Mild,Normal,Weak,Yes
Day 76,Rain,Mild,High,Strong,No
Day 77,Rain,Mild,Normal,Weak,Yes
Day 78,Sunny,Mild,High,Strong,No
Day 79,Rain,Cool,Normal,Strong,No
Day 80,Sunny,Mild,Normal,Strong,Yes
Day 81,Sunny,Hot,Normal,Weak,Yes
Day 82,Rain,Cool,Normal,Weak,No
Day 83,Rain,Cool,High,Strong,No
Day 84,Rain,Cool,Normal,Strong,No
Day 85,Sunny,Hot,Normal,Strong,Yes
Day 86,Rain,Cool,Normal,Strong,No
Day 87,Cloudy,Mild,High,Weak,Yes
Day 88,Cloudy,Mild,High,Strong,No
Day 89,Rain,Mild,High,Weak,Yes
Day 90,Sunny,Mild,High,Weak,No
Day 91,Cloudy,Hot,Normal,Weak,Yes
Day 92,Rain,Mild,Normal,Weak,Yes
Day 93,Rain,Mild,Normal,Strong,No
Day 94,Rain,Mild,High,Strong,No
Day 95,Sunny,Mild,Normal,Strong,Yes
Day 96,Cloudy,Mild,Normal,Strong,Yes
Day 97,Sunny,Mild,Normal,Weak,Yes
Day 98,Cloudy,Hot,Normal,Strong,Yes
Day 99,Sunny,Hot,Normal,Strong,Yes
Day 100,Cloudy,Cool,Normal,Weak,Yes
Day 101,Cloudy,Mild,High,Strong,Yes
Day 102,Rain,Mild,High,Strong,No
Day 103,Rain,Cool,High,Strong,No
Day 104,Sunny,Mild,Normal,Weak,Yes
Day 105,Rain,Mild,Normal,Strong,No
Day 106,Rain,Cool,Normal,Weak,Yes
Day 107,Sunny,Hot,Normal,Weak,Yes
Day 108,Sunny,Hot,High,Weak,No
Day 109,Sunny,Hot,Normal,Strong,Yes
Day 110,Rain,Cool,Normal,Weak,Yes
Day 111,Sunny,Mild,Normal,Weak,Yes
Day 112,Rain,Mild,High,Weak,Yes
Day 113,Rain,Cool,Normal,Strong,No
Day 114,Sunny,Hot,High,Strong,Yes
Day 115,Rain,Cool,High,Weak,Yes
Day 116,Rain,Cool,High,Strong,No
Day 117,Cloudy,Cool,Normal,Weak,Yes
Day 118,Sunny,Hot,High,Strong,No
Day 119,Sunny,Mild,Normal,Weak,Yes
Day 120,Sunny,Hot,High,Weak,No
Day 121,Sunny,Mild,High,Strong,No
Day 122,Rain,Cool,High,Strong,No
Day 123,Sunny,Mild,High,Strong,No
Day 124,Cloudy,Mild,High,Strong,Yes
Day 125,Cloudy,Hot,High,Weak,Yes
Day 126,Rain,Cool,Normal,Weak,Yes
Day 127,Cloudy,Cool,High,Strong,Yes
Day 128,Sunny,Hot,High,Weak,No
Day 129,Cloudy,Hot,High,Weak,Yes
Day 130,Rain,Cool,Normal,Weak,Yes
Day 131,Sunny,Mild,High,Strong,No
Day 132,Rain,Mild,Normal,Weak,No
Day 133,Rain,Cool,High,Weak,Yes
Day 134,Sunny,Hot,Normal,Weak,Yes
Day 135,Cloudy,Mild,High,Weak,Yes
Day 136,Rain,Mild,Normal,Weak,No
Day 137,Sunny,Mild,Normal,Strong,Yes
Day 138,Sunny,Hot,Normal,Strong,Yes
Day 139,Cloudy,Mild,Normal,Strong,Yes
Day 140,Cloudy,Cool,Normal,Weak,Yes
Day 141,Sunny,Mild,High,Strong,No
Day 142,Sunny,Hot,High,Strong,No
Day 143,Rain,Mild,High,Strong,No
Day 144,Rain,Mild,High,Weak,No
Day 145,Cloudy,Hot,Normal,Strong,Yes
Day 146,Cloudy,Mild,High,Weak,Yes
Day 147,Rain,Mild,High,Strong,Yes
Day 148,Sunny,Hot,Normal,Weak,Yes
Day 149,Rain,Mild,High,Strong,No
Day 150,Cloudy,Hot,High,Strong,Yes
Day 151,Sunny,Mild,High,Strong,No
Day 152,Sunny,Mild,Normal,Weak,Yes
Day 153,Cloudy,Cool,Normal,Weak,Yes
Day 154,Cloudy,Mild,High,Weak,Yes
Day 155,Rain,Cool,High,Strong,No
Day 156,Cloudy,Cool,High,Weak,Yes
Day 157,Cloudy,Mild,High,Weak,Yes
Day 158,Cloudy,Mild,Normal,Strong,Yes
Day 159,Cloudy,Cool,High,Weak,Yes
Day 160,Cloudy,Hot,Normal,Weak,Yes
Day 161,Cloudy,Cool,High,Weak,Yes
Day 162,Cloudy,Hot,Normal,Weak,Yes
Day 163,Cloudy,Mild,Normal,Weak,Yes
Day 164,Sunny,Hot,Normal,Weak,Yes
Day 165,Sunny,Hot,Normal,Weak,Yes
Day 166,Rain,Cool,Normal,Strong,No
Day 167,Rain,Mild,High,Weak,Yes
Day 168,Cloudy,Cool,High,Weak,Yes
Day 169,Sunny,Hot,Normal,Weak,Yes
Day 170,Cloudy,Mild,Normal,Strong,Yes
Day 171,Sunny,Hot,High,Strong,No
Day 172,Cloudy,Cool,Normal,Strong,Yes
Day 173,Cloudy,Hot,Normal,Strong,Yes
Day 174,Rain,Mild,Normal,Weak,Yes
Day 175,Rain,Cool,Normal,Strong,No
Day 176,Cloudy,Hot,Normal,Strong,Yes
Day 177,Sunny,Hot,High,Weak,No
Day 178,Cloudy,Hot,Normal,Strong,Yes
Day 179,Cloudy,Hot,High,Weak,Yes
Day 180,Cloudy,Hot,High,Strong,Yes
Day 181,Sunny,Hot,High,Strong,No
Day 182,Sunny,Hot,High,Strong,No
Day 183,Cloudy,Mild,High,Strong,Yes
Day 184,Cloudy,Mild,High,Weak,Yes
Day 185,Cloudy,Mild,High,Strong,Yes
Day 186,Sunny,Hot,High,Weak,No
Day 187,Sunny,Hot,Normal,Strong,Yes
Day 188,Sunny,Mild,High,Strong,No
Day 189,Sunny,Hot,High,Strong,No
Day 190,Rain,Cool,Normal,Strong,No
Day 191,Rain,Cool,Normal,Weak,Yes
Day 192,Rain,Cool,High,Strong,No
Day 193,Cloudy,Cool,High,Strong,Yes
Day 194,Rain,Cool,High,Strong,No
Day 195,Sunny,Hot,High,Strong,No
Day 196,Sunny,Mild,High,Weak,No
Day 197,Cloudy,Hot,Normal,Strong,Yes
Day 198,Cloudy,Mild,Normal,Strong,Yes
Day 199,Rain,Mild,High,Weak,No
Day 200,Sunny,Hot,Normal,Strong,Yes
Day 201,Sunny,Hot,High,Strong,No
Day 202,Cloudy,Hot,Normal,Weak,Yes
Day 203,Sunny,Hot,High,Strong,No
Day 204,Sunny,Hot,Normal,Weak,Yes
Day 205,Sunny,Mild,High,Weak,No
Day 206,Sunny,Mild,Normal,Strong,Yes
Day 207,Rain,Mild,Normal,Strong,No
Day 208,Rain,Cool,High,Weak,Yes
Day 209,Rain,Mild,High,Weak,Yes
Day 210,Cloudy,Mild,Normal,Weak,Yes
Day 211,Cloudy,Cool,Normal,Strong,Yes
Day 212,Rain,Cool,Normal,Strong,No
Day 213,Cloudy,Mild,High,Weak,Yes
Day 214,Sunny,Hot,High,Weak,No
Day 215,Sunny,Mild,Normal,Strong,Yes
Day 216,Rain,Mild,Normal,Strong,No
Day 217,Cloudy,Hot,Normal,Strong,Yes
Day 218,Rain,Mild,High,Weak,Yes
Day 219,Rain,Mild,High,Weak,Yes
Day 220,Cloudy,Cool,High,Weak,Yes
Day 221,Rain,Cool,Normal,Strong,No
Day 222,Cloudy,Mild,High,Strong,Yes
Day 223,Sunny,Mild,High,Weak,Yes
Day 224,Rain,Cool,Normal,Strong,No
Day 225,Rain,Mild,Normal,Weak,Yes
Day 226,Cloudy,Mild,High,Strong,Yes
Day 227,Sunny,Hot,Normal,Weak,Yes
Day 228,Sunny,Hot,Normal,Strong,Yes
Day 229,Rain,Mild,High,Strong,No
Day 230,Cloudy,Hot,High,Weak,Yes
Day 231,Sunny,Hot,High,Strong,No
Day 232,Cloudy,Hot,Normal,Weak,Yes
Day 233,Cloudy,Cool,Normal,Weak,Yes
Day 234,Sunny,Mild,High,Weak,No
Day 235,Cloudy,Mild,High,Strong,Yes
Day 236,Rain,Mild,Normal,Strong,Yes
Day 237,Rain,Mild,High,Strong,No
Day 238,Cloudy,Mild,Normal,Weak,Yes
Day 239,Cloudy,Hot,Normal,Weak,Yes
Day 240,Cloudy,Cool,Normal,Strong,Yes
Day 241,Cloudy,Hot,Normal,Strong,Yes
Day 242,Sunny,Mild,High,Weak,No
Day 243,Cloudy,Hot,Normal,Strong,Yes
Day 244,Sunny,Hot,Normal,Weak,Yes
Day 245,Rain,Cool,Normal,Weak,Yes
Day 246,Cloudy,Cool,High,Strong,Yes
Day 247,Rain,Cool,High,Weak,Yes
Day 248,Sunny,Hot,High,Weak,No
Day 249,Sunny,Hot,High,Weak,No
Day 250,Sunny,Mild,High,Strong,No
Day 251,Cloudy,Mild,High,Strong,Yes
Day 252,Rain,Mild,Normal,Weak,Yes
Day 253,Sunny,Mild,High,Weak,No
Day 254,Sunny,Hot,High,Strong,No
Day 255,Rain,Mild,High,Weak,Yes
Day 256,Sunny,Mild,High,Weak,Yes
Day 257,Rain,Mild,Normal,Strong,No
Day 258,Cloudy,Cool,Normal,Strong,Yes
Day 259,Sunny,Mild,Normal,Strong,Yes
Day 260,Cloudy,Hot,Normal,Weak,Yes
Day 261,Rain,Cool,High,Weak,Yes
Day 262,Sunny,Hot,Normal,Strong,Yes
Day 263,Rain,Cool,High,Weak,No
Day 264,Rain,Mild,Normal,Strong,No
Day 265,Sunny,Hot,High,Strong,No
Day 266,Sunny,Mild,Normal,Weak,Yes
Day 267,Sunny,Hot,Normal,Strong,Yes
Day 268,Rain,Mild,Normal,Weak,Yes
Day 269,Cloudy,Mild,Normal,Strong,No
Day 270,Sunny,Hot,High,Weak,No
Day 271,Rain,Mild,High,Weak,Yes
Day 272,Sunny,Hot,High,Weak,No
Day 273,Rain,Mild,High,Strong,No
Day 274,Rain,Mild,Normal,Strong,No
Day 275,Sunny,Mild,High,Weak,No
Day 276,Cloudy,Mild,High,Strong,Yes
Day 277,Sunny,Mild,High,Weak,No
Day 278,Rain,Cool,High,Weak,Yes
Day 279,Sunny,Mild,Normal,Weak,Yes
Day 280,Cloudy,Cool,High,Strong,Yes
Day 281,Rain,Mild,Normal,Weak,Yes
Day 282,Sunny,Mild,Normal,Strong,Yes
Day 283,Cloudy,Hot,High,Weak,Yes
Day 284,Rain,Mild,Normal,Weak,Yes
Day 285,Rain,Mild,High,Strong,Yes
Day 286,Rain,Mild,High,Weak,Yes
Day 287,Cloudy,Cool,Normal,Weak,Yes
Day 288,Sunny,Mild,Normal,Strong,Yes
Day 289,Rain,Mild,Normal,Strong,No
Day 290,Sunny,Mild,High,Weak,No
Day 291,Cloudy,Hot,Normal,Weak,Yes
Day 292,Sunny,Hot,High,Strong,No
Day 293,Rain,Cool,High,Strong,No
Day 294,Cloudy,Hot,Normal,Strong,Yes
Day 295,Sunny,Mild,Normal,Strong,No
Day 296,Sunny,Mild,Normal,Strong,Yes
Day 297,Rain,Cool,High,Strong,No
Day 298,Sunny,Mild,High,Strong,No
Day 299,Rain,Cool,Normal,Weak,Yes
Day 300,Cloudy,Hot,Normal,Weak,Yes
Day 301,Sunny,Mild,Normal,Strong,Yes
Day 302,Cloudy,Hot,High,Strong,No
Day 303,Sunny,Hot,Normal,Strong,Yes
Day 304,Rain,Mild,High,Weak,Yes
Day 305,Rain,Mild,Normal,Strong,No
Day 306,Cloudy,Hot,High,Strong,Yes
Day 307,Cloudy,Hot,High,Strong,Yes
Day 308,Cloudy,Mild,High,Strong,Yes
Day 309,Sunny,Mild,High,Strong,No
Day 310,Sunny,Hot,High,Weak,No
Day 311,Cloudy,Hot,High,Weak,Yes
Day 312,Rain,Cool,High,Strong,No
Day 313,Cloudy,Hot,Normal,Weak,Yes
Day 314,Cloudy,Mild,High,Strong,Yes
Day 315,Cloudy,Cool,Normal,Weak,Yes
Day 316,Rain,Cool,Normal,Weak,Yes
Day 317,Rain,Mild,High,Strong,No
Day 318,Cloudy,Cool,High,Strong,Yes
Day 319,Sunny,Mild,Normal,Weak,Yes
Day 320,Rain,Cool,Normal,Weak,Yes
Day 321,Cloudy,Mild,High,Strong,Yes
Day 322,Cloudy,Hot,High,Weak,Yes
Day 323,Rain,Cool,Normal,Weak,Yes
Day 324,Sunny,Hot,High,Weak,No
Day 325,Rain,Mild,High,Strong,No
Day 326,Rain,Mild,Normal,Weak,No
Day 327,Rain,Cool,Normal,Weak,Yes
Day 328,Rain,Cool,Normal,Strong,No
Day 329,Cloudy,Cool,Normal,Strong,Yes
Day 330,Sunny,Hot,High,Strong,No
Day 331,Cloudy,Hot,High,Strong,Yes
Day 332,Rain,Cool,High,Strong,No
Day 333,Cloudy,Cool,Normal,Weak,Yes
Day 334,Rain,Cool,Normal,Strong,No
Day 335,Sunny,Mild,Normal,Weak,Yes
Day 336,Sunny,Mild,Normal,Weak,Yes
Day 337,Rain,Mild,High,Strong,No
Day 338,Sunny,Hot,Normal,Weak,Yes
Day 339,Rain,Mild,High,Strong,No
Day 340,Rain,Cool,Normal,Strong,No
Day 341,Rain,Mild,High,Weak,Yes
Day 342,Rain,Mild,High,Strong,No
Day 343,Rain,Cool,Normal,Weak,Yes
Day 344,Rain,Cool,Normal,Strong,No
Day 345,Rain,Mild,High,Strong,No
Day 346,Sunny,Hot,High,Weak,No
Day 347,Rain,Cool,High,Weak,No
Day 348,Cloudy,Mild,High,Strong,Yes
Day 349,Rain,Cool,High,Weak,Yes
Day 350,Sunny,Hot,Normal,Strong,Yes
Day 351,Cloudy,Hot,Normal,Strong,Yes
Day 352,Sunny,Hot,High,Strong,No
Day 353,Sunny,Mild,Normal,Strong,Yes
Day 354,Sunny,Mild,High,Strong,No
Day 355,Sunny,Mild,Normal,Weak,Yes
Day 356,Sunny,Hot,Normal,Strong,Yes
Day 357,Cloudy,Cool,Normal,Strong,Yes
Day 358,Rain,Cool,Normal,Weak,No
Day 359,Cloudy,Hot,High,Strong,Yes
Day 360,Sunny,Mild,Normal,Strong,Yes
Day 361,Sunny,Mild,Normal,Strong,Yes
Day 362,Cloudy,Hot,High,Weak,Yes
Day 363,Rain,Cool,Normal,Weak,Yes
Day 364,Cloudy,Mild,Normal,Strong,Yes
Day 365,Sunny,Mild,High,Strong,No
Day 366,Rain,Cool,High,Strong,No
Day 367,Cloudy,Hot,Normal,Strong,Yes
Day 368,Rain,Cool,Normal,Strong,No
Day 369,Cloudy,Cool,Normal,Strong,Yes
Day 370,Rain,Cool,High,Weak,No
Day 371,Sunny,Mild,High,Strong,No
Day 372,Sunny,Hot,High,Weak,No
Day 373,Sunny,Mild,Normal,Weak,Yes
Day 374,Rain,Mild,Normal,Weak,Yes
Day 375,Sunny,Hot,Normal,Weak,Yes
Day 376,Rain,Mild,Normal,Strong,No
Day 377,Sunny,Mild,High,Weak,No
Day 378,Cloudy,Mild,High,Weak,Yes
Day 379,Rain,Mild,Normal,Strong,No
Day 380,Rain,Cool,Normal,Weak,Yes
Day 381,Cloudy,Mild,High,Strong,Yes
Day 382,Rain,Cool,Normal,Strong,No
Day 383,Rain,Cool,Normal,Weak,Yes
Day 384,Cloudy,Hot,High,Weak,Yes
Day 385,Rain,Cool,Normal,Weak,Yes
Day 386,Cloudy,Mild,High,Weak,Yes
Day 387,Cloudy,Mild,Normal,Strong,Yes
Day 388,Cloudy,Cool,High,Strong,Yes
Day 389,Sunny,Hot,High,Weak,No
Day 390,Rain,Mild,High,Weak,Yes
Day 391,Sunny,Hot,High,Weak,No
Day 392,Rain,Cool,Normal,Strong,No
Day 393,Sunny,Mild,High,Weak,No
Day 394,Cloudy,Hot,High,Strong,Yes
Day 395,Cloudy,Cool,High,Weak,Yes
Day 396,Cloudy,Hot,Normal,Strong,Yes
Day 397,Rain,Cool,Normal,Weak,Yes
Day 398,Sunny,Mild,High,Weak,No
Day 399,Sunny,Hot,High,Weak,No
Day 400,Rain,Mild,High,Weak,Yes
Day 401,Rain,Cool,High,Strong,No
Day 402,Sunny,Mild,High,Strong,No
Day 403,Cloudy,Cool,High,Strong,Yes
Day 404,Cloudy,Cool,Normal,Strong,Yes
Day 405,Rain,Cool,Normal,Weak,Yes
Day 406,Sunny,Hot,Normal,Weak,Yes
Day 407,Rain,Cool,High,Strong,No
Day 408,Rain,Mild,Normal,Strong,No
Day 409,Cloudy,Cool,Normal,Weak,No
Day 410,Rain,Cool,Normal,Weak,Yes
Day 411,Rain,Cool,High,Strong,No
Day 412,Sunny,Mild,Normal,Strong,Yes
Day 413,Sunny,Hot,High,Weak,No
Day 414,Rain,Mild,High,Weak,Yes
Day 415,Cloudy,Mild,Normal,Strong,Yes
Day 416,Rain,Cool,High,Weak,Yes
Day 417,Rain,Mild,Normal,Strong,No
Day 418,Sunny,Hot,High,Strong,No
Day 419,Cloudy,Cool,Normal,Weak,Yes
Day 420,Sunny,Hot,High,Strong,Yes
Day 421,Cloudy,Mild,Normal,Strong,Yes
Day 422,Cloudy,Hot,Normal,Strong,Yes
Day 423,Cloudy,Hot,High,Strong,Yes
Day 424,Sunny,Mild,High,Weak,No
Day 425,Cloudy,Cool,Normal,Strong,Yes
Day 426,Rain,Mild,High,Weak,Yes
Day 427,Rain,Mild,Normal,Weak,Yes
Day 428,Rain,Mild,Normal,Weak,Yes
Day 429,Sunny,Mild,High,Strong,No
Day 430,Sunny,Hot,High,Weak,No
Day 431,Cloudy,Mild,Normal,Strong,Yes
Day 432,Sunny,Mild,Normal,Weak,Yes
Day 433,Sunny,Mild,Normal,Weak,Yes
Day 434,Rain,Cool,High,Strong,No
Day 435,Rain,Cool,Normal,Strong,No
Day 436,Cloudy,Hot,Normal,Weak,Yes
Day 437,Cloudy,Mild,High,Strong,Yes
Day 438,Rain,Mild,Normal,Strong,No
Day 439,Rain,Cool,Normal,Strong,No
Day 440,Sunny,Mild,Normal,Strong,Yes
Day 441,Cloudy,Mild,High,Strong,Yes
Day 442,Sunny,Hot,Normal,Weak,Yes
Day 443,Rain,Cool,High,Weak,Yes
Day 444,Sunny,Hot,High,Weak,No
Day 445,Cloudy,Mild,High,Strong,Yes
Day 446,Sunny,Hot,Normal,Strong,Yes
Day 447,Rain,Mild,Normal,Strong,No
Day 448,Rain,Mild,High,Strong,No
Day 449,Sunny,Mild,Normal,Strong,Yes
Day 450,Rain,Cool,Normal,Weak,Yes
Day 451,Sunny,Mild,High,Weak,No
Day 452,Cloudy,Hot,High,Strong,Yes
Day 453,Rain,Mild,Normal,Weak,Yes
Day 454,Cloudy,Cool,Normal,Strong,Yes
Day 455,Sunny,Mild,Normal,Weak,Yes
Day 456,Cloudy,Cool,Normal,Weak,Yes
Day 457,Sunny,Mild,Normal,Strong,Yes
Day 458,Cloudy,Cool,High,Weak,Yes
Day 459,Sunny,Hot,High,Strong,Yes
Day 460,Sunny,Mild,Normal,Weak,Yes
Day 461,Sunny,Mild,High,Strong,Yes
Day 462,Rain,Cool,Normal,Weak,Yes
Day 463,Cloudy,Mild,Normal,Strong,Yes
Day 464,Rain,Mild,Normal,Strong,No
Day 465,Rain,Cool,Normal,Weak,Yes
Day 466,Sunny,Hot,High,Strong,No
Day 467,Cloudy,Cool,High,Strong,Yes
Day 468,Rain,Cool,High,Strong,No
Day 469,Cloudy,Mild,Normal,Weak,Yes
Day 470,Cloudy,Hot,Normal,Strong,Yes
Day 471,Cloudy,Mild,Normal,Strong,Yes
Day 472,Rain,Cool,Normal,Weak,Yes
Day 473,Sunny,Hot,Normal,Weak,Yes
Day 474,Rain,Cool,Normal,Weak,Yes
Day 475,Cloudy,Hot,Normal,Weak,Yes
Day 476,Cloudy,Mild,Normal,Weak,Yes
Day 477,Rain,Cool,High,Weak,Yes
Day 478,Sunny,Mild,Normal,Weak,Yes
Day 479,Sunny,Mild,Normal,Strong,Yes
Day 480,Sunny,Mild,Normal,Strong,Yes
Day 481,Rain,Cool,High,Weak,Yes
Day 482,Cloudy,Cool,High,Weak,Yes
Day 483,Sunny,Hot,Normal,Strong,Yes
Day 484,Sunny,Mild,High,Weak,No
Day 485,Sunny,Hot,High,Strong,No
Day 486,Sunny,Mild,Normal,Strong,Yes
Day 487,Cloudy,Hot,High,Weak,Yes
Day 488,Sunny,Mild,Normal,Strong,Yes
Day 489,Sunny,Mild,High,Strong,No
Day 490,Sunny,Hot,Normal,Strong,Yes
Day 491,Rain,Cool,High,Strong,No
Day 492,Sunny,Hot,Normal,Strong,Yes
Day 493,Rain,Cool,Normal,Weak,Yes
Day 494,Sunny,Mild,Normal,Weak,Yes
Day 495,Rain,Mild,Normal,Strong,No
Day 496,Sunny,Hot,High,Weak,No
Day 497,Sunny,Mild,Normal,Strong,Yes
Day 498,Sunny,Mild,Normal,Weak,Yes
Day 499,Cloudy,Mild,Normal,Weak,Yes
Day 500,Sunny,Mild,High,Strong,No
Day 501,Rain,Cool,Normal,Weak,Yes
Day 502,Rain,Cool,Normal,Strong,No
Day 503,Cloudy,Mild,Normal,Weak,Yes
Day 504,Sunny,Hot,Normal,Weak,Yes
Day 505,Sunny,Mild,Normal,Weak,Yes
Day 506,Sunny,Mild,High,Weak,No
Day 507,Sunny,Mild,High,Strong,Yes
Day 508,Cloudy,Mild,High,Strong,Yes
Day 509,Rain,Mild,High,Weak,Yes
Day 510,Sunny,Hot,High,Strong,No
Day 511,Sunny,Mild,Normal,Weak,Yes
Day 512,Rain,Mild,Normal,Strong,No
Day 513,Rain,Mild,Normal,Weak,Yes
Day 514,Cloudy,Mild,High,Weak,Yes
Day 515,Cloudy,Cool,Normal,Strong,Yes
Day 516,Sunny,Mild,Normal,Strong,Yes
Day 517,Rain,Cool,Normal,Strong,No
Day 518,Sunny,Hot,High,Strong,No
Day 519,Sunny,Mild,High,Strong,No
Day 520,Cloudy,Mild,Normal,Strong,Yes
Day 521,Rain,Mild,Normal,Weak,Yes
Day 522,Sunny,Mild,Normal,Weak,Yes
Day 523,Sunny,Hot,Normal,Weak,Yes
Day 524,Cloudy,Mild,Normal,Strong,Yes
Day 525,Cloudy,Cool,Normal,Strong,Yes
Day 526,Sunny,Mild,High,Weak,No
Day 527,Sunny,Hot,Normal,Weak,Yes
Day 528,Cloudy,Cool,Normal,Strong,Yes
Day 529,Cloudy,Hot,High,Strong,Yes
Day 530,Sunny,Hot,High,Strong,No
Day 531,Cloudy,Hot,High,Strong,Yes
Day 532,Sunny,Hot,Normal,Weak,Yes
Day 533,Sunny,Hot,Normal,Strong,Yes
Day 534,Sunny,Mild,High,Strong,No
Day 535,Cloudy,Mild,High,Strong,Yes
Day 536,Cloudy,Mild,Normal,Strong,Yes
Day 537,Rain,Cool,Normal,Weak,Yes
Day 538,Cloudy,Cool,Normal,Weak,Yes
Day 539,Cloudy,Cool,High,Strong,Yes
Day 540,Cloudy,Mild,Normal,Strong,Yes
Day 541,Cloudy,Hot,Normal,Strong,Yes
Day 542,Sunny,Mild,Normal,Strong,Yes
Day 543,Sunny,Hot,High,Strong,No
Day 544,Rain,Mild,Normal,Strong,No
Day 545,Cloudy,Mild,Normal,Strong,Yes
Day 546,Cloudy,Cool,High,Weak,Yes
Day 547,Sunny,Hot,Normal,Strong,Yes
Day 548,Sunny,Mild,Normal,Weak,Yes
Day 549,Sunny,Hot,High,Weak,No
Day 550,Cloudy,Hot,High,Strong,Yes
Day 551,Rain,Cool,Normal,Weak,Yes
Day 552,Cloudy,Cool,High,Weak,Yes
Day 553,Rain,Mild,High,Weak,Yes
Day 554,Sunny,Mild,High,Strong,No
Day 555,Sunny,Hot,Normal,Strong,Yes
Day 556,Rain,Mild,High,Weak,Yes
Day 557,Sunny,Mild,Normal,Weak,Yes
Day 558,Cloudy,Hot,High,Strong,Yes
Day 559,Rain,Cool,Normal,Strong,No
Day 560,Cloudy,Hot,Normal,Weak,No
Day 561,Sunny,Mild,Normal,Strong,Yes
Day 562,Rain,Cool,High,Strong,Yes
Day 563,Sunny,Mild,Normal,Strong,Yes
Day 564,Sunny,Mild,Normal,Strong,Yes
Day 565,Cloudy,Cool,Normal,Weak,Yes
Day 566,Sunny,Hot,Normal,Strong,No
Day 567,Cloudy,Cool,High,Weak,Yes
Day 568,Cloudy,Cool,Normal,Weak,Yes
Day 569,Rain,Mild,Normal,Strong,No
Day 570,Rain,Cool,Normal,Strong,No
Day 571,Cloudy,Hot,Normal,Weak,Yes
Day 572,Cloudy,Mild,High,Strong,Yes
