age,gender,region,income_level,have_insurance
61,Female,West,Medium,1
51,Female,North,Medium,0
27,Female,West,Medium,0
53,Female,North,High,1
31,Female,West,Medium,0
48,Female,South,Medium,0
65,Male,West,Medium,1
32,Female,West,High,0
25,Male,West,Low,0
31,Female,East,High,1
40,Male,South,Medium,0
74,Female,North,Medium,1
57,Female,South,Low,1
38,Male,North,Low,1
33,Male,East,Medium,0
62,Male,South,Medium,0
35,Female,West,High,1
64,Female,East,Low,0
70,Male,West,Medium,1
41,Male,North,Medium,1
43,Male,West,Low,0
42,Male,West,Low,1
62,Female,South,Medium,1
58,Male,East,Medium,1
46,Female,East,Medium,0
32,Female,North,Medium,1
62,Female,South,High,1
18,Female,South,Low,0
42,Female,North,Medium,0
24,Female,South,High,0
26,Male,North,Low,0
41,Female,North,Medium,1
18,Male,North,Low,0
61,Female,West,High,0
25,Female,South,Medium,0
41,Male,West,Medium,1
28,Female,South,High,1
68,Female,South,Medium,1
34,Female,South,Low,1
25,Female,South,Medium,1
52,Male,North,High,1
52,Female,East,Medium,1
50,Male,North,Medium,1
22,Female,East,Low,0
59,Male,East,Medium,0
56,Male,North,High,1
58,Male,North,High,1
45,Female,East,Medium,1
24,Female,South,Low,0
26,Female,North,Low,1
25,Male,West,Low,0
29,Male,North,Medium,0
51,Male,East,High,1
50,Female,West,High,1
65,Male,North,Low,1
72,Male,North,High,1
40,Female,North,High,0
41,Female,South,High,0
54,Male,North,Medium,1
52,Male,East,Medium,1
61,Male,North,Medium,0
57,Female,South,Low,1
39,Male,West,Medium,0
44,Female,West,Medium,0
52,Female,East,Medium,1
18,Female,South,Medium,0
52,Male,East,Medium,0
54,Male,South,Low,1
64,Male,South,High,1
31,Female,North,High,1
20,Male,West,Medium,0
18,Female,South,High,1
22,Male,North,Low,0
43,Female,South,High,0
72,Female,South,Low,1
31,Female,West,Medium,1
56,Female,East,Medium,0
44,Male,East,Low,1
26,Female,North,Low,0
32,Female,South,Medium,0
32,Male,South,High,1
43,Female,North,Medium,1
59,Male,North,Medium,1
30,Male,East,High,1
68,Male,North,High,1
49,Female,South,Medium,1
56,Male,North,High,0
66,Male,North,Medium,1
69,Female,North,Medium,1
49,Female,West,High,1
21,Male,West,Low,0
47,Male,West,Medium,0
54,Male,South,High,1
40,Male,North,High,1
56,Male,South,Low,0
62,Female,South,Medium,1
32,Female,West,Low,1
60,Female,North,High,1
46,Male,South,Medium,0
53,Female,North,Medium,1
30,Male,South,High,1
49,Male,East,Medium,1
24,Male,South,Low,0
68,Female,South,High,1
39,Male,South,Medium,0
45,Female,South,Low,0
19,Male,East,Low,0
59,Female,West,High,1
62,Female,West,Medium,1
74,Male,East,High,1
70,Female,South,Medium,0
23,Female,East,Low,0
45,Male,South,Low,0
45,Male,North,Medium,1
61,Male,West,Medium,0
61,Male,North,Low,1
37,Male,West,High,1
47,Female,South,High,1
28,Female,East,Medium,1
72,Female,East,High,1
45,Male,West,Medium,0
42,Male,East,High,1
56,Female,East,Medium,1
50,Female,North,High,1
18,Male,South,High,1
74,Female,North,High,1
44,Male,East,High,1
74,Female,South,High,1
69,Male,East,Medium,1
30,Female,North,Medium,0
58,Male,North,High,1
20,Male,East,Low,0
56,Male,North,High,1
23,Male,North,High,0
25,Male,North,Low,0
44,Male,West,High,1
26,Female,East,High,1
54,Male,South,High,1
50,Male,North,High,0
68,Female,South,High,1
59,Male,East,High,0
61,Male,East,High,1
41,Male,North,Low,0
32,Female,North,Medium,0
71,Female,North,High,1
49,Male,East,Medium,1
49,Male,East,Medium,0
41,Female,North,Medium,0
58,Male,North,Medium,1
69,Male,North,High,1
66,Male,West,High,1
66,Male,North,Medium,1
69,Female,East,Low,0
29,Female,East,Low,0
56,Female,South,Medium,1
19,Male,North,High,0
20,Female,North,Low,0
66,Female,East,High,1
54,Female,East,Medium,1
66,Male,East,Medium,1
73,Male,South,High,1
34,Female,North,High,1
66,Female,West,Low,1
19,Male,East,Low,0
19,Female,North,Low,0
45,Female,West,Medium,0
71,Female,East,High,1
40,Female,East,Low,1
54,Female,East,Medium,1
49,Female,West,Medium,0
50,Female,East,High,1
18,Male,North,High,1
36,Female,South,Low,0
19,Male,West,Medium,1
70,Male,North,Medium,1
61,Female,South,Medium,1
43,Male,South,High,1
49,Female,South,High,1
23,Male,East,High,0
49,Female,West,Medium,0
72,Female,North,Medium,1
21,Female,North,Medium,1
72,Male,North,Medium,1
28,Female,West,Low,0
73,Male,East,Medium,1
34,Female,North,Medium,0
55,Male,West,Medium,1
41,Female,West,Low,0
22,Male,West,High,1
69,Female,West,Medium,1
51,Female,North,High,1
23,Female,East,Low,0
39,Female,South,Low,0
28,Male,West,Low,0
65,Female,East,Medium,0
33,Male,East,High,0
50,Female,East,Medium,1
26,Male,North,High,0
23,Female,South,Low,0
33,Female,West,Medium,0
46,Male,West,Medium,0
20,Female,North,Low,0
37,Female,North,High,0
53,Male,North,Medium,1
36,Male,East,Medium,0
43,Female,West,High,1
20,Female,North,High,0
36,Male,South,High,1
37,Female,West,Medium,1
49,Female,East,High,1
24,Female,South,Low,0
69,Male,East,Medium,1
58,Male,South,Medium,0
50,Female,North,High,1
57,Female,East,Medium,1
56,Female,East,Medium,1
35,Male,West,High,0
57,Female,East,Medium,0
18,Female,East,Low,0
28,Male,North,Low,0
45,Female,South,High,0
74,Male,North,High,0
42,Female,North,Medium,1
67,Female,East,High,1
40,Female,West,High,1
48,Male,North,Medium,1
47,Male,South,Medium,1
59,Male,West,High,1
52,Female,North,High,1
24,Male,East,Low,0
33,Female,East,High,0
43,Female,East,Medium,0
65,Male,North,Medium,0
74,Female,South,Medium,1
69,Female,East,Low,0
66,Female,East,Medium,1
19,Female,North,Medium,0
18,Female,East,Low,0
65,Male,North,Medium,1
29,Female,East,Low,0
22,Male,North,Low,0
54,Male,West,High,1
49,Female,South,Medium,0
72,Female,South,Medium,1
26,Female,North,Low,0
58,Male,South,Medium,1
52,Female,West,Low,1
36,Male,West,High,1
65,Female,South,High,0
33,Male,South,Medium,1
20,Female,East,Medium,0
37,Female,West,High,0
41,Male,East,High,1
71,Male,South,Medium,1
73,Female,South,Medium,0
50,Male,East,Medium,0
41,Female,North,High,1
69,Male,East,High,1
28,Male,South,Low,0
66,Female,East,Medium,0
25,Female,North,High,0
53,Female,East,High,1
55,Male,South,High,1
57,Male,East,High,1
37,Female,North,Medium,0
52,Female,East,High,0
65,Male,East,High,1
42,Male,East,Low,0
52,Male,East,High,1
42,Female,East,High,1
46,Female,West,Low,0
35,Female,North,High,1
63,Male,West,High,1
35,Female,South,High,1
19,Male,North,Low,0
71,Female,North,Medium,0
52,Male,South,High,1
33,Male,East,Medium,0
58,Male,East,High,1
53,Female,East,High,1
50,Female,South,Medium,1
21,Female,South,Low,0
50,Male,North,High,1
31,Male,South,Medium,0
38,Male,South,High,1
65,Male,North,High,1
37,Male,North,Medium,1
73,Female,East,High,0
25,Male,East,Low,0
24,Female,West,High,0
20,Female,West,Medium,1
34,Male,East,High,0
50,Female,South,High,1
65,Female,East,Medium,1
29,Male,East,Medium,0
68,Female,North,Medium,1
39,Male,South,Medium,0
72,Female,West,Medium,1
39,Female,South,High,1
63,Female,East,High,1
47,Female,East,High,0
55,Male,North,High,1
55,Female,South,High,1
62,Male,South,High,1
68,Female,North,Medium,1
71,Male,North,Medium,0
25,Male,West,Low,0
44,Male,North,High,1
44,Female,South,High,0
51,Female,North,Medium,1
38,Female,West,Low,1
47,Male,North,High,1
50,Female,South,Low,1
45,Female,West,High,1
64,Male,West,High,1
50,Female,North,Medium,0
22,Male,West,Low,0
65,Female,South,High,1
36,Female,South,High,1
21,Male,North,Low,0
52,Female,North,High,0
66,Male,East,Low,1
34,Female,South,Medium,0
61,Female,South,High,1
45,Male,East,High,0
47,Male,East,Low,0
46,Male,North,High,1
63,Female,East,High,1
70,Male,North,Medium,1
23,Female,East,Low,0
52,Female,East,High,1
58,Male,West,Medium,1
54,Female,North,Medium,1
41,Male,North,Medium,1
46,Female,North,High,1
66,Female,North,High,1
63,Male,North,High,1
70,Male,West,Medium,0
48,Male,North,Medium,0
52,Male,North,High,1
50,Male,East,High,1
69,Male,South,High,1
38,Male,East,Low,0
49,Female,North,Medium,1
40,Female,South,Low,0
50,Female,North,High,1
20,Male,North,Low,0
35,Male,West,Medium,1
42,Female,North,Medium,0
59,Male,South,High,1
48,Male,South,Medium,0
71,Female,South,High,1
20,Male,West,Low,0
57,Male,North,Low,1
63,Female,East,High,1
41,Male,West,Medium,0
67,Female,East,Medium,1
49,Male,West,Medium,1
64,Male,North,Medium,0
39,Male,South,Low,1
40,Female,North,Medium,1
19,Male,East,High,0
44,Male,West,Medium,0
59,Female,North,High,1
19,Male,East,Medium,0
43,Female,North,Low,1
34,Male,East,Medium,0
57,Female,South,High,1
50,Female,West,Medium,0
26,Female,East,Low,0
60,Male,South,Medium,0
71,Female,North,Medium,0
65,Male,North,High,1
56,Female,North,Low,0
46,Female,North,Medium,1
59,Male,West,Medium,0
72,Male,East,High,1
43,Female,South,Low,0
52,Male,North,Medium,1
67,Male,West,High,1
42,Male,East,High,1
41,Female,North,Medium,0
30,Female,East,Medium,1
24,Male,South,Low,0
74,Female,North,Medium,1
53,Male,South,Medium,0
62,Male,South,Medium,1
37,Male,North,Medium,1
18,Male,West,Low,0
25,Male,West,Medium,0
63,Female,East,High,1
33,Male,South,Medium,1
31,Female,South,Low,0
29,Female,East,Low,0
68,Male,South,High,0
40,Male,North,Medium,0
32,Male,South,Low,0
45,Male,West,Medium,1
51,Female,South,High,1
19,Female,North,Medium,1
49,Male,East,Medium,0
40,Female,North,Low,0
39,Female,North,High,0
68,Female,North,Medium,1
42,Female,South,Medium,1
39,Female,East,High,1
39,Female,South,Medium,1
66,Female,North,Medium,1
69,Female,West,Medium,1
59,Male,West,High,1
23,Female,West,Medium,0
32,Female,North,High,1
71,Male,South,Medium,1
60,Female,West,Medium,0
54,Male,East,High,1
50,Male,North,High,1
25,Female,North,Medium,0
70,Female,South,Medium,1
61,Male,West,High,1
61,Male,South,High,1
22,Female,South,Medium,0
56,Male,North,Medium,1
21,Female,East,Low,0
23,Male,West,Low,0
62,Female,South,Medium,1
49,Male,East,Medium,1
69,Male,West,High,1
47,Male,North,Medium,0
64,Male,South,High,0
52,Female,North,Medium,1
72,Female,East,High,1
57,Female,East,High,1
69,Female,East,Medium,1
33,Male,East,Low,0
30,Female,South,Medium,0
67,Female,West,Low,0
59,Male,South,High,1
47,Male,North,High,1
36,Male,East,Medium,0
34,Male,East,Medium,0
73,Female,South,Medium,1
36,Female,West,High,0
45,Male,West,Low,0
72,Male,North,High,1
43,Female,West,Medium,1
54,Male,North,High,1
43,Female,North,Medium,1
70,Female,North,High,1
40,Male,West,Low,0
26,Male,East,Low,0
29,Male,North,Medium,0
70,Female,South,High,0
18,Male,East,Low,0
18,Female,North,Low,0
64,Female,West,Medium,1
51,Male,West,Medium,1
49,Male,South,Medium,1
71,Male,West,Low,0
65,Male,South,Medium,0
42,Male,West,High,0
57,Male,East,High,1
62,Female,East,High,1
70,Female,North,Low,0
18,Female,West,High,0
33,Female,South,High,1
56,Male,North,High,1
22,Female,North,Medium,0
39,Female,East,High,0
46,Female,South,Medium,1
72,Male,East,Medium,1
20,Female,West,Medium,0
29,Male,North,Medium,0
43,Female,East,High,1
33,Female,North,Medium,1
68,Male,West,Low,1
54,Male,West,Medium,1
39,Female,South,High,1
74,Male,East,High,1
46,Male,South,Medium,1
31,Female,South,Medium,1
45,Male,West,Medium,1
22,Male,South,Medium,0
64,Male,South,High,1
66,Male,South,High,1
47,Male,West,Medium,1
63,Male,South,High,1
69,Male,North,Medium,1
22,Male,East,Medium,0
29,Male,West,Low,0
33,Male,North,Medium,0
43,Male,North,Medium,0
43,Female,North,High,1
65,Male,South,Low,0
38,Male,South,High,0
56,Female,East,Medium,1
53,Male,East,Medium,1
50,Female,East,Low,1
47,Female,South,Medium,1
54,Male,West,High,1
40,Female,South,Low,0
27,Male,West,Low,0
71,Male,East,High,1
22,Female,North,Low,0
53,Female,East,High,1
51,Female,South,Medium,1
69,Male,East,High,1
48,Male,North,Medium,1
27,Male,North,Low,0
36,Female,West,Low,0
49,Male,North,Low,1
18,Male,West,Low,1
73,Male,North,High,1
22,Female,East,Medium,1
62,Male,East,High,1
21,Male,South,Medium,0
33,Male,South,Low,0
41,Female,North,Medium,1
33,Male,North,Medium,1
72,Male,South,Medium,1
19,Female,East,Low,0
66,Male,West,High,1
45,Male,West,Medium,0
49,Female,East,Medium,1
44,Female,East,High,0
37,Male,East,High,0
41,Female,North,Medium,1
29,Male,West,High,1
67,Female,East,High,1
52,Male,East,Medium,1
50,Female,North,Medium,1
50,Male,South,High,1
68,Male,South,High,1
60,Male,West,High,1
54,Male,South,Medium,1
29,Female,South,Low,0
20,Male,West,Low,0
18,Female,North,Low,0
50,Female,South,Medium,1
57,Female,North,High,0
27,Female,East,Medium,0
60,Male,West,High,1
61,Male,North,High,1
46,Female,West,High,1
30,Female,North,Medium,0
29,Male,West,Medium,0
48,Female,East,Low,0
63,Female,West,High,1
19,Female,North,Low,0
68,Male,West,High,1
67,Male,East,Medium,1
52,Female,South,Medium,0
40,Female,West,Low,0
34,Male,North,Low,0
43,Male,West,High,0
25,Female,North,Medium,0
46,Male,East,Medium,0
43,Female,South,Low,0
27,Female,North,Low,0
43,Male,North,Low,1
51,Female,North,Medium,1
68,Male,South,High,1
58,Female,South,Medium,1
24,Female,East,Low,0
21,Male,North,Low,0
70,Female,North,Medium,1
67,Male,East,High,1
62,Female,North,High,1
28,Female,West,Low,0
46,Female,West,Low,1
73,Male,East,Medium,1
53,Female,East,Medium,1
42,Male,West,Medium,0
38,Female,North,High,0
74,Male,North,High,1
53,Female,North,High,1
27,Male,East,Low,0
54,Male,North,Medium,1
26,Male,East,Low,0
41,Male,West,Medium,0
52,Male,West,High,1
66,Male,South,Medium,0
52,Female,North,High,1
65,Female,West,Medium,1
53,Male,East,High,1
35,Male,North,Medium,1
66,Male,North,High,1
56,Female,West,Medium,1
49,Female,East,Medium,0
41,Female,West,Low,0
40,Male,West,Medium,0
49,Female,East,Low,1
54,Female,South,High,0
29,Female,South,Low,0
66,Female,South,Medium,1
72,Male,South,High,1
30,Female,East,Medium,0
40,Male,East,Medium,1
42,Female,West,Medium,0
52,Female,South,Low,1
58,Female,East,High,1
47,Female,East,Low,0
34,Female,East,Medium,1
66,Female,East,High,1
37,Male,North,Medium,1
65,Female,South,High,0
42,Male,North,Medium,1
39,Male,South,Low,1
30,Male,South,High,1
36,Female,East,Medium,0
66,Female,West,High,1
53,Female,East,High,1
29,Female,East,Medium,0
58,Male,South,Medium,1
36,Female,East,Medium,0
29,Female,North,Medium,0
26,Male,North,Low,0
24,Male,South,Low,0
45,Male,South,High,1
31,Female,North,High,1
48,Female,North,Medium,1
69,Male,North,Low,1
36,Female,West,Medium,1
64,Female,South,High,1
33,Female,South,High,1
70,Female,North,Medium,0
22,Female,East,Low,0
52,Female,North,High,1
29,Male,North,Low,0
42,Male,South,Medium,1
69,Male,North,High,1
38,Female,North,Low,0
53,Female,North,High,1
70,Female,North,Low,1
40,Male,North,Medium,0
33,Male,South,High,1
74,Female,West,Medium,1
56,Male,East,High,0
62,Female,South,High,1
70,Male,North,Medium,1
59,Male,West,Medium,0
56,Male,South,Medium,1
31,Male,North,Medium,0
48,Male,East,Low,0
22,Female,North,Low,0
52,Male,South,Medium,0
40,Female,South,High,1
46,Male,West,Medium,1
60,Male,South,High,1
28,Male,East,Low,0
35,Female,West,Medium,1
64,Male,North,High,1
29,Male,North,Low,0
26,Male,South,Low,0
27,Female,South,Medium,0
61,Female,South,High,1
34,Female,West,Medium,1
55,Female,East,Low,0
24,Male,East,Medium,0
63,Female,South,High,1
30,Male,West,High,0
57,Female,West,High,0
59,Female,West,High,1
26,Male,North,Low,1
67,Male,East,Medium,1
44,Female,North,Medium,1
19,Male,North,Medium,0
22,Male,North,Medium,0
46,Female,East,Low,0
54,Male,East,Medium,1
55,Male,North,High,1
36,Male,South,High,1
25,Female,South,High,0
65,Male,South,High,0
62,Female,North,High,1
18,Female,South,Medium,0
39,Female,East,High,1
69,Female,North,High,1
34,Male,North,Medium,1
24,Male,South,Low,0
42,Male,West,Medium,1
62,Female,East,High,1
21,Female,East,Low,0
53,Female,South,Medium,1
23,Male,East,Low,0
48,Female,North,Medium,1
36,Male,East,Medium,1
61,Male,West,Medium,1
71,Female,East,High,1
56,Male,West,High,0
44,Female,East,Low,0
27,Male,North,Low,0
43,Male,West,Medium,0
36,Female,North,Medium,1
56,Female,South,High,1
20,Male,North,Medium,0
62,Male,North,High,1
30,Female,South,Medium,1
67,Male,North,High,1
45,Male,South,Medium,1
37,Male,East,High,1
45,Female,North,Medium,1
25,Male,North,Low,0
58,Male,East,Medium,1
56,Female,South,Medium,1
18,Female,East,Medium,0
20,Male,East,Low,0
30,Female,West,Medium,0
45,Male,East,Medium,0
74,Female,South,High,1
66,Female,East,High,1
42,Male,North,High,1
73,Female,South,High,1
50,Male,East,Medium,0
55,Female,South,Low,1
70,Male,East,High,1
23,Female,West,Low,0
61,Female,West,Medium,1
62,Male,West,Low,1
49,Female,South,Medium,1
62,Male,South,Low,0
64,Female,East,High,1
38,Male,South,Medium,1
33,Female,East,Medium,0
71,Male,East,Low,1
38,Female,East,Medium,0
28,Female,South,Low,0
54,Female,North,High,1
53,Female,South,High,1
52,Male,North,Medium,1
36,Female,West,High,0
37,Male,South,High,0
74,Female,North,High,1
35,Female,North,High,1
64,Male,East,Medium,1
58,Male,East,High,1
66,Female,South,Low,1
31,Female,North,Low,0
32,Female,South,High,1
48,Male,South,Medium,0
18,Male,East,Medium,1
70,Female,East,High,1
71,Male,South,High,0
71,Male,North,High,1
20,Male,West,Low,0
33,Male,South,Low,0
40,Female,East,Medium,0
74,Female,North,Medium,1
28,Female,South,Low,0
29,Female,North,Low,0
27,Male,South,Medium,0
49,Male,West,Medium,0
33,Female,South,Medium,0
25,Female,North,Medium,0
55,Female,North,Medium,1
29,Male,South,Low,0
41,Female,North,High,1
45,Female,North,Medium,1
70,Female,East,High,1
25,Female,South,Low,0
45,Male,North,High,1
53,Male,West,High,1
43,Female,North,Medium,0
25,Male,West,Medium,0
67,Male,South,High,1
45,Male,West,Medium,1
45,Female,East,Medium,1
54,Male,West,High,1
58,Female,West,High,1
53,Male,North,Medium,0
44,Female,West,High,1
71,Female,South,Medium,1
34,Female,South,Medium,0
26,Male,South,Low,0
50,Female,South,High,0
70,Male,North,High,1
37,Male,East,Medium,1
30,Female,South,Medium,1
45,Male,East,Medium,0
65,Female,West,High,1
46,Male,South,High,1
30,Female,South,Medium,1
63,Male,North,High,1
52,Male,North,High,1
23,Male,North,Low,0
35,Male,South,Low,1
68,Female,North,Medium,1
22,Male,West,Medium,0
64,Male,East,High,1
42,Male,South,Medium,1
19,Female,East,High,1
27,Male,North,Low,0
73,Male,South,High,1
47,Male,East,Medium,0
67,Female,South,High,1
62,Male,South,High,1
22,Female,West,Low,0
72,Male,West,Medium,1
73,Female,East,High,0
50,Male,East,High,1
71,Male,East,Medium,1
18,Female,North,Medium,0
35,Male,South,Medium,0
49,Female,North,Medium,0
64,Male,South,High,0
66,Male,South,Medium,0
28,Male,North,Low,0
38,Male,West,High,0
43,Male,West,Medium,0
42,Female,East,Medium,0
39,Female,South,High,0
44,Male,West,High,1
66,Male,North,High,1
30,Male,East,Medium,0
50,Male,North,Medium,1
51,Female,East,Medium,1
58,Male,North,Medium,1
52,Female,West,High,1
18,Male,West,Low,0
38,Female,North,High,1
65,Female,South,High,1
72,Female,West,High,1
23,Female,South,Low,0
45,Male,West,Low,0
34,Female,East,Low,1
22,Female,South,Low,0
48,Female,North,Low,0
22,Female,North,Medium,0
55,Female,East,High,1
20,Female,South,Medium,0
70,Male,South,High,1
40,Male,South,Medium,1
54,Male,East,High,1
70,Female,West,High,1
54,Female,West,Medium,1
27,Male,South,Medium,0
27,Male,West,Low,0
36,Female,East,High,1
34,Female,East,High,1
38,Female,West,Low,0
31,Female,North,High,1
26,Female,North,Medium,0
63,Male,West,High,1
18,Male,South,Low,0
68,Male,West,High,1
62,Male,West,Low,0
30,Male,North,Medium,0
21,Male,West,Low,0
18,Male,South,High,0
66,Female,South,High,1
57,Female,East,High,1
49,Female,West,High,1
51,Male,North,Low,1
45,Male,South,Medium,1
48,Female,East,Low,0
25,Male,East,Low,0
56,Female,East,Medium,0
43,Male,North,Medium,1
51,Female,North,Medium,0
71,Female,South,Medium,1
71,Female,West,Medium,0
20,Female,North,Low,0
67,Female,North,High,1
29,Female,West,Medium,1
18,Male,North,High,0
71,Male,West,Medium,1
61,Female,East,Medium,1
22,Male,West,Medium,0
47,Male,North,Medium,0
47,Female,North,Medium,0
74,Female,East,Medium,1
34,Female,West,Low,0
65,Female,East,Medium,1
64,Male,North,Medium,1
40,Female,East,Medium,0
32,Male,East,Low,0
54,Male,East,Medium,1
38,Female,East,High,1
31,Male,West,Low,0
19,Female,East,Low,0
28,Male,North,Medium,0
68,Female,South,Medium,0
56,Male,North,Low,1
55,Male,South,Medium,1
51,Female,South,Medium,1
55,Male,North,High,1
67,Male,South,High,0
51,Male,North,Medium,1
35,Male,West,Medium,0
47,Male,West,Medium,1
32,Female,North,Low,0
44,Female,West,Medium,1
68,Male,South,Medium,1
51,Female,North,Medium,1
69,Male,North,Low,0
74,Male,South,Medium,0
55,Female,East,Medium,1
50,Female,East,High,1
41,Male,North,Low,1
32,Female,North,Medium,0
47,Male,South,Medium,0
72,Female,North,High,1
59,Male,North,High,1
68,Female,North,High,1
34,Male,West,High,1
22,Female,West,Medium,1
46,Male,South,Medium,1
21,Female,West,Low,0
27,Male,South,Medium,0
73,Male,South,High,1
34,Female,North,High,0
27,Female,East,Low,0
34,Female,West,Low,0
37,Male,East,Medium,0
41,Male,South,High,0
22,Male,East,Low,0
51,Female,North,Medium,0
23,Female,West,Medium,0
